               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.025197,            0.036271,           0.0065957,             0.98394,             0.88998,             0.92791,             0.78481,            0.018538,            0.027668,           0.0058706,            0.006535,            0.006535,            0.006535
                 107,            0.024695,            0.035286,           0.0063608,             0.97738,             0.89951,             0.93002,              0.7904,            0.018401,            0.027666,           0.0058327,            0.006502,            0.006502,            0.006502
                 108,            0.024484,            0.035604,           0.0061794,              0.9795,              0.9042,             0.92907,              0.7921,            0.018392,            0.027508,           0.0057166,            0.006469,            0.006469,            0.006469
                 109,            0.024943,            0.036227,           0.0064721,             0.98455,             0.89642,              0.9283,             0.79104,            0.018243,            0.027573,           0.0058391,            0.006436,            0.006436,            0.006436
                 110,            0.024473,            0.035445,           0.0063174,             0.98324,             0.89754,             0.92845,             0.79171,            0.018264,            0.027676,           0.0057675,            0.006403,            0.006403,            0.006403
                 111,            0.024445,            0.035283,           0.0062346,             0.97839,             0.89441,             0.92842,             0.78987,            0.018388,            0.027503,           0.0059722,             0.00637,             0.00637,             0.00637
                 112,            0.024363,            0.035783,           0.0061181,             0.97783,             0.90194,             0.92808,             0.79246,            0.018136,            0.027471,           0.0058525,            0.006337,            0.006337,            0.006337
                 113,            0.024806,            0.035464,           0.0066175,              0.9836,             0.89242,             0.92918,             0.78879,            0.018343,            0.027678,           0.0058633,            0.006304,            0.006304,            0.006304
                 114,             0.02423,            0.035046,            0.006096,             0.98166,             0.89916,             0.92804,             0.79077,            0.018229,            0.027926,           0.0058018,            0.006271,            0.006271,            0.006271
                 115,            0.024558,            0.035995,           0.0061986,             0.98277,             0.89507,             0.92863,             0.78699,            0.018261,             0.02749,           0.0058387,            0.006238,            0.006238,            0.006238
                 116,              0.0246,            0.035863,           0.0064366,             0.98414,             0.90622,             0.93134,             0.79322,            0.018309,            0.027309,           0.0058093,            0.006205,            0.006205,            0.006205
                 117,            0.023669,            0.034792,           0.0060091,             0.98206,             0.90257,             0.93261,             0.79586,            0.018129,            0.027472,           0.0056444,            0.006172,            0.006172,            0.006172
                 118,             0.02519,            0.036332,           0.0065948,             0.98112,             0.89858,             0.92774,             0.79169,            0.018297,              0.0279,           0.0055952,            0.006139,            0.006139,            0.006139
                 119,            0.023563,             0.03441,           0.0057882,             0.98611,             0.90108,             0.92902,             0.79204,            0.018273,            0.027615,           0.0057155,            0.006106,            0.006106,            0.006106
                 120,            0.023243,            0.034241,           0.0059217,             0.97967,             0.90243,             0.93094,             0.79729,             0.01799,            0.027292,            0.005651,            0.006073,            0.006073,            0.006073
                 121,            0.024055,            0.034825,           0.0061234,             0.98043,             0.90312,              0.9295,             0.79423,            0.018025,            0.027494,           0.0058038,             0.00604,             0.00604,             0.00604
                 122,            0.024112,            0.034511,           0.0058823,              0.9808,               0.903,              0.9276,             0.79138,            0.018242,            0.027684,           0.0058728,            0.006007,            0.006007,            0.006007
                 123,            0.023846,            0.034587,           0.0060649,             0.98424,             0.90329,             0.92812,             0.79546,            0.018047,            0.027169,           0.0056589,            0.005974,            0.005974,            0.005974
